,ds,ticker,open,high,low,close,volume,SMA,EMA,RSI,MACD,%K,%D
0,2024-09-19,TSLA,234.0,244.2400054931641,232.1300048828125,243.9199981689453,102694600,,243.9199981689453,,0.0,,
1,2024-09-20,TSLA,241.5200042724609,243.9900054931641,235.9199981689453,238.25,99879100,,243.37999834333147,0.0,-0.45230754624066094,,
2,2024-09-23,TSLA,242.6100006103516,250.0,241.9199981689453,250.0,86927200,,244.01047469158559,67.45121260085298,0.1357968838698298,,
3,2024-09-24,TSLA,254.0800018310547,257.19000244140625,249.0500030517578,254.2700042724609,88491000,,244.98757274690703,73.85893254617028,0.9356420416299613,,
4,2024-09-25,TSLA,252.5399932861328,257.04998779296875,252.27999877929688,257.0199890136719,65034300,,246.1335171532656,76.80032265737819,1.7710107680442775,,
5,2024-09-26,TSLA,260.6000061035156,261.75,251.52999877929688,254.22000122070312,67142200,,246.90365849302154,68.90604352792042,2.181958626986301,,
6,2024-09-27,TSLA,257.3800048828125,260.70001220703125,254.1199951171875,260.4599914550781,70988100,,248.19473782274122,74.70132985862818,2.976837696113364,,
7,2024-09-30,TSLA,259.0400085449219,264.8599853515625,255.7700042724609,261.6300048828125,80705700,,249.47428706655754,75.55558099911882,3.659016525748825,,
8,2024-10-01,TSLA,262.6700134277344,263.9800109863281,248.52999877929688,258.0199890136719,87397600,,250.28816344247318,68.42654583001483,3.8638104508508775,,
9,2024-10-02,TSLA,247.5500030517578,251.16000366210935,241.5,249.0200042724609,93983900,252.68099822998047,250.16738637866248,55.39569227987585,3.2622820031180026,,
10,2024-10-03,TSLA,244.47999572753903,249.7899932861328,237.80999755859372,240.66000366210935,80729200,252.35499877929686,249.26192135803836,47.06940337345006,2.0869273927793586,,
11,2024-10-04,TSLA,246.69000244140625,250.9600067138672,244.5800018310547,250.0800018310547,86573200,253.53799896240236,249.3398337840399,54.73555177057379,1.8937357156176233,,
12,2024-10-07,TSLA,249.0,249.8300018310547,240.6999969482422,240.8300018310547,68113300,252.62099914550782,248.5293735980413,47.920314139308736,0.9829019433043698,,
13,2024-10-08,TSLA,243.55999755859372,246.2100067138672,240.55999755859372,244.5,56303200,251.6439987182617,248.14562373156116,50.37198692159317,0.550847964874464,37.794080350882425,
14,2024-10-09,TSLA,243.82000732421875,247.42999267578125,239.50999450683597,241.0500030517578,66289500,250.0470001220703,247.46985033348466,48.2373197003196,-0.06914676583352275,17.72635506173907,
15,2024-10-10,TSLA,241.80999755859372,242.7899932861328,232.33999633789065,238.7700042724609,83087100,248.5020004272461,246.6412935657681,50.333250735314664,-0.7359898703966792,19.77247880331999,25.097638071980498
16,2024-10-11,TSLA,220.1300048828125,223.33999633789065,214.3800048828125,217.8000030517578,142628900,244.23600158691406,243.89450399300523,31.54515922473996,-2.922878555447852,6.774959374365225,14.757931079808095
17,2024-10-14,TSLA,220.1300048828125,221.91000366210935,213.7400054931641,219.16000366210935,86291900,239.98900146484374,241.53883729482467,29.182964215748115,-4.4944536468365754,10.602504507941065,12.383314228542096
18,2024-10-15,TSLA,220.00999450683597,224.25999450683597,217.1199951171875,219.57000732421875,62988800,236.14400329589844,239.4465677738146,27.16185745211135,-5.64181898303454,11.404546416496403,9.594003432934231
19,2024-10-16,TSLA,221.3999938964844,222.82000732421875,218.92999267578125,221.3300018310547,49632800,233.3750030517578,237.72118054117078,29.684990346153057,-6.336059283122609,14.847416526600313,12.284822483679262
20,2024-10-17,TSLA,221.58999633789065,222.0800018310547,217.8999938964844,220.88999938964844,50791800,231.39800262451172,236.11821090769246,23.672663177145495,-6.842873852214069,13.986691536831048,13.412884826642587
21,2024-10-18,TSLA,220.7100067138672,222.27999877929688,219.22999572753903,220.6999969482422,49611900,228.46000213623046,234.649809578221,22.407975633665643,-7.17712621532138,13.853484661790324,14.229197575073895
22,2024-10-21,TSLA,218.8999938964844,220.47999572753903,215.72999572753903,218.8500061035156,47329000,226.26200256347656,233.14506639015383,22.952632621495084,-7.504791852488239,13.655801337243997,13.831992511955123
23,2024-10-22,TSLA,217.30999755859372,218.22000122070312,215.25999450683597,217.97000122070312,43268700,223.60900268554687,231.69982208830137,25.85160499740232,-7.746185070521506,11.364845751767893,12.958043916934072
24,2024-10-23,TSLA,217.1300048828125,218.72000122070312,212.1100006103516,213.6499938964844,80938900,220.86900177001954,229.98079083193787,27.585054136410832,-8.191651166690178,3.963946059698189,9.661531049570025
25,2024-10-24,TSLA,244.67999267578125,262.1199951171875,242.6499938964844,260.4800109863281,204491900,223.04000244140624,232.88547846568932,55.32459919124996,-4.711583056331193,96.72068724055708,37.349826350674384
26,2024-10-25,TSLA,256.010009765625,269.489990234375,255.32000732421875,269.19000244140625,161611900,228.1790023803711,236.34305217766237,64.60049298829496,-1.2365265796467497,99.47719092503434,66.72060807509654
27,2024-10-28,TSLA,270.0,273.5400085449219,262.239990234375,262.510009765625,107653600,232.51400299072264,238.83514337651596,58.99331313660829,0.9673105784299878,82.04460792021216,92.74749536193451
28,2024-10-29,TSLA,264.510009765625,264.9800109863281,255.50999450683597,259.5199890136719,80521800,236.50900115966797,240.8051286752927,59.26556669307522,2.4444199661869277,77.17724610066328,86.23301498196992
29,2024-10-30,TSLA,258.0400085449219,263.3500061035156,255.82000732421875,257.54998779296875,53993600,240.13099975585936,242.39987716269042,59.45047183828271,3.4166916687189257,73.97034236267028,77.73073212784857
30,2024-10-31,TSLA,257.989990234375,259.75,249.25,249.8500061035156,66575300,243.0270004272461,243.1094132522928,68.61424017568253,3.5252627918435167,61.43578157007771,70.86112334447041
31,2024-11-01,TSLA,252.0399932861328,254.0,246.6300048828125,248.97999572753903,57544800,245.8550003051758,243.66851634517337,67.41821531750307,3.5007491655316585,60.019518728465805,65.14188088707125
32,2024-11-04,TSLA,244.55999755859372,248.8999938964844,238.8800048828125,242.83999633789065,68802400,248.25399932861328,243.58960967781312,62.73950764225776,2.951848234454644,50.024404620409435,57.15990163965099
33,2024-11-05,TSLA,247.33999633789065,255.27999877929688,246.2100067138672,251.44000244140625,69282500,251.6009994506836,244.33726613148863,65.33563808283017,3.1741987242393748,64.02408717404926,58.02267017430817
34,2024-11-06,TSLA,284.6700134277344,289.5899963378906,275.6199951171875,288.5299987792969,165228700,259.08899993896483,248.54609781223226,75.08529448880748,6.270977890207405,98.63190808331835,70.89346662592568
35,2024-11-07,TSLA,288.8900146484375,299.75,285.5199890136719,296.9100036621094,117309200,262.731999206543,253.15218408364913,76.64498754575317,9.294255656016901,96.75947471740162,86.47182332492308
36,2024-11-08,TSLA,299.1400146484375,328.7099914550781,297.6600036621094,321.2200012207031,204782800,267.9349990844727,259.6348333347971,80.93309224691001,13.49626219337918,93.57633720199065,96.32257333423688
37,2024-11-11,TSLA,346.29998779296875,358.6400146484375,336.0,350.0,210521600,276.68399810791016,268.2410396838641,84.13921013504782,18.93046935811259,94.1035871011438,94.81313300684536
38,2024-11-12,TSLA,342.739990234375,345.8399963378906,323.3099975585937,328.489990234375,155726000,283.5809982299805,273.9790349743889,77.27013227229108,21.25640901461321,74.824630965656,87.50151842293015
39,2024-11-13,TSLA,335.8500061035156,344.6000061035156,322.5,330.239990234375,125405600,290.8499984741211,279.3372211896257,71.07806823079387,22.97608926953984,76.28588669152377,81.73803491944119
40,2024-11-14,TSLA,327.69000244140625,329.9800109863281,310.3699951171875,311.17999267578125,120726100,296.98299713134764,282.3698660930691,61.94050678301402,22.541125683745065,60.370726367226126,70.4937480081353
41,2024-11-15,TSLA,310.57000732421875,324.67999267578125,309.2200012207031,320.7200012207031,114440300,304.15699768066406,286.02225991474853,66.28797938283424,22.704489645081992,68.33666471642303,68.33109259172431
42,2024-11-18,TSLA,340.7300109863281,348.54998779296875,330.010009765625,338.739990234375,126085600,313.7469970703125,291.0429961356653,70.44703714678606,24.01123273103684,83.38341450288154,70.69693519551022
43,2024-11-19,TSLA,335.760009765625,347.3800048828125,332.75,346.0,88852500,323.2029968261719,296.2769965036972,72.22250335829823,25.34054809044119,89.44554641138181,80.38854187689547
44,2024-11-20,TSLA,345.0,346.6000061035156,334.29998779296875,342.0299987792969,66340700,328.55299682617186,300.63442529184954,73.60200195782551,25.77655805424388,86.13058240255067,86.31984777227133
45,2024-11-21,TSLA,343.8099975585937,347.989990234375,335.2799987792969,339.6400146484375,58011700,332.8259979248047,304.34924332581033,73.0335410353259,25.63375734816043,84.1349378334356,86.57035554912268
46,2024-11-22,TSLA,341.0899963378906,361.5299987792969,337.70001220703125,352.5599975585937,89140700,335.9599975585937,308.94074372893255,76.9476393696871,26.260407769581434,92.22164252698367,87.49572092098998
47,2024-11-25,TSLA,360.1400146484375,361.9299926757813,338.20001220703125,338.5899963378906,95890900,334.8189971923828,311.7644820726428,70.85427172374894,25.33769324146965,72.95794577905565,83.10484204649164
48,2024-11-26,TSLA,341.0,346.9599914550781,335.6600036621094,338.2300109863281,62295900,335.7929992675781,314.28500863585094,64.42922444015068,24.297303332522745,68.98314284310702,78.05424371638212
49,2024-11-27,TSLA,341.79998779296875,342.54998779296875,326.5899963378906,332.8900146484375,57896400,336.05800170898436,316.056913970383,60.63365026429153,22.779308073971663,54.815648060611565,65.58557889425809
50,2024-11-29,TSLA,336.0799865722656,345.45001220703125,334.6499938964844,345.1600036621094,37167600,339.4560028076172,318.82863679816643,57.617414251095624,22.309204837462744,68.18442092147924,63.99440394173261
51,2024-12-02,TSLA,352.3800048828125,360.0,351.1499938964844,357.0899963378906,77986500,343.09300231933594,322.4725758019497,52.526908186845354,22.638334710773563,90.81768711342792,71.27258536517292
52,2024-12-03,TSLA,351.79998779296875,355.69000244140625,348.20001220703125,351.4200134277344,58267200,344.3610046386719,325.229474623453,59.21255034667943,22.185906946764987,80.06074568043896,79.68761790511537
53,2024-12-04,TSLA,353.0,358.1000061035156,348.6000061035156,357.92999267578125,50810900,345.55400390625,328.3438096760557,60.71512417482493,22.097924485385818,92.41130592212478,87.76324623866388
54,2024-12-05,TSLA,359.8699951171875,375.4299926757813,359.5,369.489990234375,81403600,348.3000030517578,332.2624935387528,73.95450066320814,22.699329205670153,91.02854069172255,87.8335307647621
55,2024-12-06,TSLA,377.4200134277344,389.489990234375,370.7999877929688,389.2200012207031,81455800,353.25800170898435,337.6870180798909,75.96666062021762,24.485737436076647,99.57076464249552,94.33687041878095
56,2024-12-09,TSLA,397.6099853515625,404.7999877929688,378.010009765625,389.7900085449219,96359200,356.9810028076172,342.6492076479891,72.30233888267458,25.65177595087897,80.80810524488002,90.46913685969936
57,2024-12-10,TSLA,392.6799926757813,409.7300109863281,390.8500061035156,400.989990234375,97563600,363.22100219726565,348.20547265621633,73.22410682064239,27.166456791539417,89.48758815004926,89.95548601247492
58,2024-12-11,TSLA,409.7000122070313,424.8800048828125,402.3800048828125,424.7699890136719,104287600,371.875,355.4973313569264,79.93489725372496,29.940563258308032,99.88807013981452,90.06125451158125
59,2024-12-12,TSLA,424.8399963378906,429.2999877929688,415.0,418.1000061035156,87752200,380.3959991455078,361.4594908566015,77.53370740670854,31.240727086922675,89.09552855492966,92.82372894826447
60,2024-12-13,TSLA,420.0,436.2999877929688,415.7099914550781,436.2300109863281,89000200,389.5029998779297,368.58049277371833,78.32624548429872,33.3496224750711,99.936216559939,96.30660508489439
