,ds,ticker,open,high,low,close,volume,SMA,EMA,RSI,MACD,%K,%D
0,2020-01-02,AAPL,71.5458973217052,72.59889913772518,71.29231130597061,72.53852081298828,135480400,,72.53852081298828,,0.0,,
1,2020-01-03,AAPL,71.76565905712691,72.59404771603535,71.6086769224392,71.83328247070312,146322800,,72.47135525658017,0.0,-0.05625832929909791,,
2,2020-01-06,AAPL,70.95420295942078,72.44433607127044,70.70302703365871,72.40569305419922,118387200,,72.46510171349627,44.80186786413797,-0.0540318646329041,,
3,2020-01-07,AAPL,72.41535254834196,72.67135607636844,71.84538465436648,72.0651626586914,108872000,,72.42701227970532,35.37374232666032,-0.07883655361433739,,
4,2020-01-08,AAPL,71.76807129058055,73.5262872851597,71.76807129058055,73.22439575195312,132079200,,72.50295356277654,62.347372960737935,-0.004897569694421122,,
5,2020-01-09,AAPL,74.20254195863613,74.97296995476395,73.95137344000949,74.7797622680664,170108400,,72.71979248708986,75.86378731691512,0.17716246821990467,,
6,2020-01-10,AAPL,75.01402005997716,75.51395427727236,74.446462424671,74.94880676269531,140644800,,72.93207956095705,76.77010759868014,0.33126818446825723,,
7,2020-01-13,AAPL,75.26520375211625,76.57661912211044,75.14685723047293,76.550048828125,121532000,,73.27664806259209,82.86486128351966,0.5759655550165519,,
8,2020-01-14,AAPL,76.48726080979424,76.69737618985954,75.39320591637785,75.51637268066406,161954400,,73.48995516907513,70.86282521244308,0.6786578129989209,,
9,2020-01-15,AAPL,75.31591552157606,76.19743749233605,74.76043057245047,75.19274139404297,121923600,73.9054786682129,73.65212528573873,67.78879291831228,0.7255639772945415,,
10,2020-01-16,AAPL,75.73614052978684,76.24573732895618,75.37387064834499,76.13463592529297,108829200,74.26509017944336,73.88855487045818,71.39967057174145,0.8291821714458791,,
11,2020-01-17,AAPL,76.3833883085302,76.97992629479913,76.07666915290817,76.9775161743164,137816400,74.77951354980469,74.18274166130182,74.00716301638911,0.9681534582791755,,
