,ds,ticker,open,high,low,close,volume,SMA,EMA,RSI,MACD,%K,%D
0,2024-09-19,META,548.2760214901399,560.3081952993754,544.8069490423769,557.3474731445312,15647000,,557.3474731445312,,0.0,,
1,2024-09-20,META,558.244709941919,562.7306049325238,554.5562952253196,559.5904541015625,22066800,,557.5610903785342,100.0,0.17892725583146785,,
2,2024-09-23,META,567.7148800735523,572.1808178690717,560.6470771833491,562.6408081054688,12830700,,558.0448730191947,100.0,0.5604064536654505,,
3,2024-09-24,META,564.9037451716252,565.9703985785299,552.4529045706721,561.5642700195312,12993000,,558.3800536858935,83.09953623854969,0.7670220866666568,,
4,2024-09-25,META,562.2819687561209,575.0717700584479,561.9529861073905,566.5286254882812,16543400,,559.1561081432637,90.50188476036618,1.316176399640085,,
5,2024-09-26,META,573.9253420066469,575.5901511619721,560.5872770475031,566.0601196289062,14400800,,559.8136330466583,86.90944067516135,1.6940526572088856,,
6,2024-09-27,META,568.3130057800689,569.0507373700175,562.7405616236127,565.5816040039062,9398400,,560.3629636140153,83.52317907124682,1.9326319241677083,,
7,2024-09-30,META,565.9205581692032,572.8786599094663,563.0296238732356,570.6456909179688,12792300,,561.3422709762965,88.33369694495858,2.501501452118532,,
8,2024-10-01,META,576.1682403455512,581.2123768001103,568.3129361816211,574.6629638671875,15259300,,562.6109083944766,90.5275638919444,3.239156030341178,,
9,2024-10-02,META,573.0580884796676,574.1945297556643,567.5554322766549,571.0145263671875,6524700,565.5636535644531,563.4112529633062,77.32203298835232,3.489133622620102,,
10,2024-10-03,META,568.3628612159356,581.5314148833746,566.9472684679748,580.9432983398438,11581000,567.9232360839844,565.0809715705955,83.76638122888477,4.437261595898121,,
11,2024-10-04,META,581.9003317540365,594.9792034357206,579.6075530643348,594.0720825195312,14169500,571.3713989257812,567.8420297562084,88.20020417595701,6.1768402377758775,,
12,2024-10-07,META,596.3448974918161,601.060113054519,582.2093508822063,582.9470825195312,12014200,573.4020263671875,569.2806062098582,71.623628107252,6.581902247933272,,
13,2024-10-08,META,587.8416343595179,591.6994990769665,584.1332629646378,591.0316162109375,7857400,576.3487609863281,571.3521309718658,75.0334985960981,7.469171157223741,82.17256394428433,
14,2024-10-09,META,592.1281300958634,592.5269006344007,579.7869303073873,588.6590576171875,9529700,578.5618041992187,573.0004096999917,72.47758196286752,7.889942168052812,74.48720915241904,
15,2024-10-10,META,585.7282672228058,588.3799026728532,580.6941086330197,582.0,7740400,580.1557922363281,573.8575135380877,65.12793466885316,7.598485319119845,60.787476489514866,72.48241652873942
16,2024-10-11,META,582.9969439506241,589.3569515432206,580.8835936806419,588.1008911132812,8587100,582.4077209472656,575.2140256881062,66.50737243666353,7.770224283333164,73.33888872564172,69.53785812252521
17,2024-10-14,META,592.3573513981993,598.2189250414914,588.1107557408928,588.5692749023438,8252000,584.2000793457031,576.4859541847002,67.64821790692814,7.853591987375921,69.13772449746301,67.7546965708732
18,2024-10-15,META,588.3100722725044,588.758673882389,578.3215220907713,584.4323120117188,9564200,585.1770141601562,577.2427501682257,61.82827003879126,7.499394807104522,58.91614553544545,67.1309195861834
19,2024-10-16,META,579.5775905437882,580.2554517410146,572.2306971262245,574.9819946289062,11268400,585.5737609863281,577.027440116862,55.26901626958724,6.382555232968457,31.94565841243202,53.333176148446825
20,2024-10-17,META,581.5015453071803,583.1363584188263,573.3970242569936,575.12158203125,8701200,584.9915893554687,576.8459298229941,55.65669616198903,5.445937977829658,31.795431555914522,40.885745167930665
21,2024-10-18,META,579.2784555040395,582.1394543142909,573.4468172928327,574.6629638671875,7694300,583.0506774902344,576.6380283033935,52.519640247175026,4.613474144017118,22.61815305269541,28.786414340347317
22,2024-10-21,META,574.2245067615513,575.4306751680575,567.3261531703059,573.357177734375,8171900,582.0916870117187,576.3255663444394,49.15217160420831,3.8045184101331415,18.79031005502418,24.401298221211366
23,2024-10-22,META,572.4898360503465,581.7009238958302,570.3266550651331,580.1856689453125,8544500,581.0070922851562,576.6931951635701,55.71854382263304,3.6720877931747964,38.80767094562257,26.738711351114052
24,2024-10-23,META,578.1520338144135,583.1662963021914,560.7368233674918,561.923095703125,14248400,578.33349609375,575.2865190244801,39.256738261521285,2.069641007939822,2.9419036612354934,20.179961553960748
25,2024-10-24,META,565.352379248696,567.0968940075117,559.7599779672446,566.0003662109375,7184700,576.7335327148437,574.4021235184284,32.33817472160929,1.1158294530889634,15.109849472661233,18.953141359839766
