news_url,title,text,source_name,date,topics,tickers
https://www.youtube.com/watch?v=g0bBVUhgbVk,CoreWeave Tumbles on Q3 Results; Nvidia Slips After SoftBank Stake Sale | Stock Movers,"On this episode of Stock Movers with Lisa Mateo: - Shares of Nvidia (NVDA) slipped in the premarket session after SoftBank Group sold the entirety of its stake of the chipmaking giant for $5.83 billion to help bankroll AI investments, even as investors question the amount of capital pouring into a technology with uncertain returns. The Nvidia stake sale highlights how founder Masayoshi Son needs money to chase a plethora of projects that range from Stargate data centers to AI robot manufacturing sites in the US.",Bloomberg Markets and Finance,"Tue, 11 Nov 2025 11:26:35 -0500",['earnings'],NVDA
https://www.youtube.com/watch?v=jlE6P5_JTNw,"Softbank sells entire stake in Nvidia, the health of the AI trade, flight cancellations mount","Morning Brief anchor Julie Hyman breaks down the latest market news for November 11, 2025. SoftBank sells off its entire stake in Nvidia stock for $5.8 billion.",Yahoo Finance,"Tue, 11 Nov 2025 11:02:18 -0500",[],NVDA
https://www.businessinsider.com/softbank-nvidia-openai-masayoshi-son-sam-altman-bubble-ai-stock2025-11,SoftBank just sold the world's hottest AI stock — so it can buy more AI,Who sells Nvidia stock in 2025? SoftBank CEO Masayoshi Son just did.,Business Insider,"Tue, 11 Nov 2025 10:40:57 -0500",['paywall'],NVDA
https://www.zacks.com/stock/news/2789220/nvidia-nvda-crossed-above-the-20-day-moving-average-what-that-means-for-investors?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|20_day_moving_average_(yseop)-2789220,Nvidia (NVDA) Crossed Above the 20-Day Moving Average: What That Means for Investors,"Nvidia (NVDA) reached a significant support level, and could be a good pick for investors from a technical perspective. Recently, NVDA broke through the 20-day moving average, which suggests a short-term bullish trend.",Zacks Investment Research,"Tue, 11 Nov 2025 10:35:30 -0500",['tanalysis'],NVDA
https://invezz.com/news/2025/11/11/nvidia-stock-slip-after-softbank-sells-5-83b-stake-to-fund-openai-bet/?utm_source=snapi,Nvidia stock slip after SoftBank sells $5.83B stake to fund OpenAI bet,"Nvidia shares slipped early Tuesday after Japan's SoftBank Group disclosed it had sold its entire stake in the chipmaker for $5.83 billion in October. The stock fell 2.3% to $194.43 on Tuesday morning, following a 5.8% gain the previous day amid optimism surrounding the end of the US government shutdown.",Invezz,"Tue, 11 Nov 2025 10:06:46 -0500",[],NVDA
https://www.forbes.com/sites/greatspeculations/2025/11/11/nvidia-stock-to-260/,Nvidia Stock To $260?,NVDA stock has risen by 5.8% over the past day and is presently trading at $199.05. The gains come as both the S&P 500 and Nasdaq indices soared on Monday as Congress takes a big step toward ending the record-breaking government shutdown that had raised concerns about the U.S. economy.,Forbes,"Tue, 11 Nov 2025 09:50:17 -0500",['paylimitwall'],NVDA
https://seekingalpha.com/article/4841840-nvidia-global-alliances-are-a-potential-liberation-from-us-ai-cycles,Nvidia: Global Alliances Are A Potential 'Liberation' From U.S. AI Cycles,"Nvidia Corporation and Palantir Technologies Inc. face short-term vulnerability from energy and capex bottlenecks, though AI's long-term growth remains structurally unstoppable. Burry's NVDA/PLTR puts and HAL calls reflect a macro hedge on power scarcity—shorting AI exuberance while favoring energy cyclicals. Hedge near-term grid constraints, but stay long AI; global data-center alliances can neutralize cyclical risk and sustain secular growth.",Seeking Alpha,"Tue, 11 Nov 2025 09:46:45 -0500",['paylimitwall'],NVDA
https://247wallst.com/investing/2025/11/11/wall-street-loves-nike-nvidia-and-instacart/?utm_source=snapi,"Wall Street Loves Nike, NVIDIA and Instacart","Instacart (NASDAQ: CART): BMO analysts just upgraded the stock following earnings, noting Instacart continues to deepen its integration of AI technologies in tools for retail partners and enterprises.",24/7 Wall Street,"Tue, 11 Nov 2025 09:41:36 -0500",[],NVDA
https://www.reuters.com/business/media-telecom/softbanks-58-billion-nvidia-stake-sale-stirs-fresh-ai-bubble-fears-2025-11-11/,SoftBank's $5.8 billion Nvidia stake sale stirs fresh AI bubble fears,"SoftBank Group's $5.8 billion sale of its Nvidia stake jolted stock markets on Tuesday, stoking fears that the frenzy around artificial intelligence may have peaked, especially after recent warnings from Wall Street bank chiefs and a famed short seller.",Reuters,"Tue, 11 Nov 2025 09:26:52 -0500",[],NVDA
https://www.forbes.com/sites/tylerroush/2025/11/11/nvidia-shares-dip-2-after-softbank-sells-entire-stake/,Nvidia Shares Dip 2% After SoftBank Sells Entire Stake,This is a developing story.,Forbes,"Tue, 11 Nov 2025 08:50:03 -0500",['paylimitwall'],NVDA
