published_at,ticker,title,desc,url,source,sentiment,sentiment_score
2025-10-18 05:50:03+00:00,AMZN,"MacKenzie Scott Slashed Amazon.com (AMZN) Stake by 42% in One Year, Reports Bloomberg","Amazon.com, Inc. (NASDAQ:AMZN) is among the 14 Best Big Name Stocks to Invest in Right Now. According to a Bloomberg report on Tuesday, billionaire philanthropist MacKenzie Scott, Jeff Bezos’ former wife, has slashed her stake in the company by 42% since last year. Scott now holds 81.1 million shares in the firm, according to the […]",https://finance.yahoo.com/news/mackenzie-scott-slashed-amazon-com-055003336.html,finance.yahoo.com,,
2025-10-17 16:35:03+00:00,AMZN,"Third Cockroach Appears, But Buying Momentum Persists; Gold May Hit $6K —- After A Blowoff Top - Apple (NASDAQ:AAPL)","To gain an edge, this is what you need to know today.",https://www.benzinga.com/Opinion/25/10/48280453/third-cockroach-appears-but-buying-momentum-persists-gold-may-hit-usd-6k-after-a-blowoff-top,benzinga.com,,
2025-10-17 15:00:42+00:00,AMZN,Assessing Amazon.com's Performance Against Competitors In Broadline Retail Industry - Amazon.com (NASDAQ:AMZN),,https://www.benzinga.com/insights/news/25/10/48276913/assessing-amazon-coms-performance-against-competitors-in-broadline-retail-industry,benzinga.com,,
2025-09-18 20:48:07+00:00,AMZN,Amazon Shares Still Have Room To Grow On Supply Chain Improvements (NASDAQ:AMZN),"Amazon is improving the supply chain by regionalizing and automating warehouses, potentially improving margins. Learn more about AMZN stock here.",https://seekingalpha.com/article/4824164-amazon-shares-still-have-room-to-grow-on-supply-chain-improvements,seekingalpha.com,,
2025-09-18 20:04:48+00:00,AMZN,Amazon Among AI Stocks Gaining Attention as Bernstein Raises Targets,"Amazon.com, Inc. has emerged as a key artificial intelligence stock capturing Wall Street's attention amid broader market movements.",https://www.under30ceo.com/amazon-among-ai-stocks-gaining-attention-as-bernstein-raises-targets/,under30ceo.com,,
2025-09-18 19:27:15+00:00,AMZN,"Billionaire David Tepper Hates This Market, But Don't Fight The Fed - NVIDIA (NASDAQ:NVDA)","Appaloosa's David Tepper sees valuations as way too high, but he will not fight the Fed.",https://www.benzinga.com/markets/hedge-funds/25/09/47749830/billionaire-david-tepper-wont-fight-the-fed-but-he-hates-this-market,benzinga.com,,
2025-08-19 21:36:14+00:00,AMZN,"Why We Believe The US Mulling A 10% Stake In Intel Is Negative - Intel (NASDAQ:INTC), SoftBank Group (OTC:SFTBY)",,https://www.benzinga.com/general/market-summary/25/08/47223009/why-we-believe-the-us-mulling-a-10-stake-in-intel-is-negative,benzinga.com,,
2025-08-19 17:56:44+00:00,AMZN,"From Elevated To Worrisome — Gravity Always Wins, Billionaire Investor Says - Apple (NASDAQ:AAPL), Amazon.com (NASDAQ:AMZN)","Howard Marks dissects market madness, separating price from value, and warns investors: fundamentals are fading while euphoria drives dangerously inflated valuations.",https://www.benzinga.com/markets/equities/25/08/47217318/from-elevated-to-worrisome-gravity-always-wins-billionaire-investor-says,benzinga.com,,
2025-08-19 15:30:50+00:00,AMZN,"Antidote To AI Bubble Call By OpenAI CEO Altman, Google Gives Big Boost To Nuclear Power - NVIDIA (NASDAQ:NVDA), SPDR Gold Trust (ARCA:GLD)",,https://www.benzinga.com/markets/equities/25/08/47213127/antidote-to-ai-bubble-call-by-openai-ceo-altman-google-gives-big-boost-to-nuclear-power,benzinga.com,,
2025-07-20 20:37:41+00:00,AMZN,Analyst Says Amazon.com (AMZN) Cloud Business Needs to Show ‘Acceleration’ for Stock Outperformance,"Amazon.com Inc (NASDAQ:AMZN) is one of the 10 Buzzing Stocks to Watch as AI Trade Makes a Comebacks. Mark Mahaney, head of internet research at Evercore ISI, recently said Amazon needs to show further AWS growth for stock outperformance. “The retail business is important for Amazon.com Inc (NASDAQ:AMZN). It’s a necessary condition. I think for […]",https://finance.yahoo.com/news/analyst-says-amazon-com-amzn-203741311.html,finance.yahoo.com,,
2025-07-20 13:22:06+00:00,AMZN,"Tech News (July 14–July 18): China Cuts US Debt, Fed Signals Rate Shift, Netflix And TSMC Lead Earnings Beat; Meta-AWS Push AI - Apple (NASDAQ:AAPL), Amazon.com (NASDAQ:AMZN)","Consumer tech surged ahead this week with strong earnings, bold AI shifts, and rising geopolitical tensions reshaping the global landscape.",https://www.benzinga.com/markets/tech/25/07/46509868/tech-news-july-14-july-18-china-cuts-us-debt-fed-signals-rate-shift-netflix-and-tsmc-lead-earnings-b,benzinga.com,,
2025-07-19 14:17:36+00:00,AMZN,"Cantor Fitzgerald Stays Bullish on Amazon (AMZN), Lifts Target to $260 on Retail and AWS Growth","Amazon.com, Inc. (NASDAQ:AMZN) is one of the AI Stocks Investors Are Watching Closely. On July 16, Cantor Fitzgerald analyst Deepak Mathivanan raised the price target on the stock to $260.00 (from $240.00) while maintaining an “Overweight” rating. The firm increased its FY26E EBIT estimates by 9% and reiterated its Overweight / Top pick rating. Earnings Preview: […]",https://finance.yahoo.com/news/cantor-fitzgerald-stays-bullish-amazon-141736890.html,finance.yahoo.com,,
2025-06-20 18:46:16+00:00,AMZN,"Vegas Grocery Prices Rise 2%, Walmart Remains Cheapest: Analyst - Dollar General (NYSE:DG), Amazon.com (NASDAQ:AMZN)","BofA study finds Vegas grocery prices up 2% YoY, with Walmart cheapest overall and eggs, dairy driving most of the inflation.",https://www.benzinga.com/analyst-stock-ratings/analyst-color/25/06/46035704/vegas-grocery-prices-rise-2-walmart-remains-cheapest-analyst,benzinga.com,,
2025-06-20 16:44:39+00:00,AMZN,"Record $6 Trillion Quad Witching Balances Israel-Iran War In Stock Market, Switzerland Cuts Rates - SPDR S&P 500 (ARCA:SPY)",,https://www.benzinga.com/markets/equities/25/06/46033042/record-6-trillion-quad-witching-balances-israel-iran-war-in-stock-market-switzerland-cuts-rates,benzinga.com,,
2025-06-20 16:30:40+00:00,AMZN,Amazon (AMZN) Receives Raised Price Target from Oppenheimer | AMZN Stock News,"Amazon.com (AMZN) has received a boost in its price target from the analyst firm Oppenheimer. In a recent report dated June 20, 2025, analyst Jason Helfstein ma",https://www.gurufocus.com/news/2937294/amazon-amzn-receives-raised-price-target-from-oppenheimer-amzn-stock-news,gurufocus.com,,
