ds,ticker,open,high,low,close,volume
2020-01-02,AAPL,71.5458973217052,72.59889913772518,71.29231130597061,72.53852081298828,135480400
2020-01-03,AAPL,71.76565905712691,72.59404771603535,71.6086769224392,71.83328247070312,146322800
2020-01-06,AAPL,70.95420295942078,72.44433607127044,70.70302703365871,72.40569305419922,118387200
2020-01-07,AAPL,72.41535254834196,72.67135607636844,71.84538465436648,72.0651626586914,108872000
2020-01-08,AAPL,71.76807129058055,73.5262872851597,71.76807129058055,73.22439575195312,132079200
2020-01-09,AAPL,74.20254195863613,74.97296995476395,73.95137344000949,74.7797622680664,170108400
2020-01-10,AAPL,75.01402005997716,75.51395427727236,74.446462424671,74.94880676269531,140644800
2020-01-13,AAPL,75.26520375211625,76.57661912211044,75.14685723047293,76.550048828125,121532000
2020-01-14,AAPL,76.48726080979424,76.69737618985954,75.39320591637785,75.51637268066406,161954400
2020-01-15,AAPL,75.31591552157606,76.19743749233605,74.76043057245047,75.19274139404297,121923600
2020-01-16,AAPL,75.73614052978684,76.24573732895618,75.37387064834499,76.13463592529297,108829200
2020-01-17,AAPL,76.3833883085302,76.97992629479913,76.07666915290817,76.9775161743164,137816400
2020-01-21,AAPL,76.60559336877427,77.04755940221253,76.31819199284013,76.45585632324219,110843200
2020-01-22,AAPL,76.94128522699003,77.2818197819215,76.63456606365708,76.728759765625,101832400
2020-01-23,AAPL,76.78191527056143,77.17799326899588,76.23367533614605,77.09829711914062,104472000
2020-01-24,AAPL,77.34461967692074,78.08847725706723,76.68528583944577,76.87608337402344,146537600
2020-01-27,AAPL,74.8836004716033,75.29658608064733,73.63256355928529,74.61552429199219,161940000
2020-01-28,AAPL,75.49706227081296,76.89783652233591,75.39804092914581,76.72636413574219,162234000
2020-01-29,AAPL,78.35899827586796,79.1801420756795,77.61755062731045,78.33242797851562,216229200
2020-01-30,AAPL,77.4146666313588,78.27203580279424,76.9823558087521,78.21890258789062,126743200
2020-01-31,AAPL,77.50884783770134,77.9314960376563,74.45612410034879,74.75077056884766,199588400
2020-02-03,AAPL,73.49249228699044,75.71200004458515,72.99014787932889,74.54549407958984,173788400
2020-02-04,AAPL,76.15156392051648,77.19732071778674,75.74582331404561,77.00652313232422,136616400
2020-02-05,AAPL,78.13437974665777,78.43386124893598,77.03066957303884,77.63445281982422,118826800
2020-02-06,AAPL,77.90493506301061,78.54494373627665,77.34704001476739,78.54252624511719,105425600
2020-02-07,AAPL,78.04141892687844,78.29076771071938,76.9835021703116,77.47493743896484,117684000
2020-02-10,AAPL,76.05871208817942,77.84288787841797,75.97882681770385,77.84288787841797,109348800
2020-02-11,AAPL,78.33919835373061,78.41182135364971,77.1553917397899,77.3732681274414,94323200
2020-02-12,AAPL,77.82355026338463,79.21554768869724,77.82355026338463,79.21070861816406,113730400
2020-02-13,AAPL,78.48200469564426,78.97343988034811,78.27865296968668,78.64662170410156,94747600
2020-02-14,AAPL,78.61516451334795,78.91535678515409,78.15762488828393,78.66600799560547,80113600
2020-02-18,AAPL,76.34438007526671,77.40714314738784,76.16281523598434,77.22557830810547,152531200
2020-02-19,AAPL,77.46767279180867,78.57400976696101,77.46767279180867,78.34402465820312,93984000
2020-02-20,AAPL,78.10434874137093,78.59336068691168,77.0343234338156,77.540283203125,100566000
2020-02-21,AAPL,77.13357171386221,77.57659398679,75.16783122272501,75.78514862060547,129554000
2020-02-24,AAPL,71.96261786330551,73.63785189891229,70.0186640363075,72.18533325195312,222195200
2020-02-25,AAPL,72.85590793147738,73.23840120801118,69.26818556775696,69.74024963378906,230673600
2020-02-26,AAPL,69.36504286107494,72.11272604677254,69.35778056176747,70.84661102294922,198054800
2020-02-27,AAPL,68.05049624740387,69.23671826456818,66.07990918137826,66.2154769897461,320605600
2020-02-28,AAPL,62.279156964871476,67.39928345046577,62.06369649730183,66.17674255371094,426510000
2020-03-02,AAPL,68.3361564954498,72.97453333535833,67.23224297649529,72.33784484863281,341397200
2020-03-03,AAPL,73.51440097180128,73.59428625555064,69.18830958377835,70.04045867919922,319475600
