ds,ticker,open,high,low,close,volume
2020-01-02,NVDA,5.942538298227734,5.971410751342773,5.8920113865906325,5.971410751342773,237536000
2020-01-03,NVDA,5.851688546269411,5.919638999446525,5.8267982408176024,5.8758320808410645,205384000
2020-01-06,NVDA,5.782491427164167,5.905697652923447,5.756356830759822,5.900470733642578,262636000
2020-01-07,NVDA,5.928848892444756,6.017707043681632,5.883797665920484,5.971909046173096,314856000
2020-01-08,NVDA,5.967676522424236,6.024426358974859,5.927603460274644,5.9831085205078125,277108000
2020-01-09,NVDA,6.069477507253272,6.121249187426067,5.9950558356906445,6.048818588256836,255112000
2020-01-10,NVDA,6.156095483057426,6.186461474165216,6.066988582177594,6.081175804138184,316296000
2020-01-13,NVDA,6.1643088762984775,6.296973440866973,6.141658411841688,6.271834373474121,319840000
2020-01-14,NVDA,6.229023873013879,6.254412184065293,6.141659275586218,6.15485143661499,359088000
2020-01-15,NVDA,6.16754428868986,6.1899455131991035,6.086402159866249,6.112287998199463,263104000
2020-01-16,NVDA,6.16580181474124,6.201892728222069,6.14240505473656,6.195919036865234,284192000
2020-01-17,NVDA,6.2150846934070065,6.222551926626451,6.157090558824123,6.2046308517456055,253792000
2020-01-21,NVDA,6.168043104649625,6.2048807947316265,6.137179106871274,6.171278953552246,217916000
2020-01-22,NVDA,6.216578763004167,6.311908122294993,6.197662150369321,6.225290298461914,239240000
2020-01-23,NVDA,6.2653639205825,6.302201135372716,6.176505782975215,6.29373836517334,244516000
2020-01-24,NVDA,6.409229613498436,6.4590102275781955,6.1802396432691555,6.234500408172607,373512000
2020-01-27,NVDA,5.9298430881536515,6.029653066688247,5.780252977773536,5.978628158569336,470536000
2020-01-28,NVDA,6.04458894626917,6.204384183119819,5.991323709071221,6.172027111053467,310976000
2020-01-29,NVDA,6.1575894597466005,6.193680380107943,6.071717926835607,6.111542701721191,258848000
2020-01-30,NVDA,6.013723391219513,6.131703216878175,5.958716335413208,6.11826229095459,290504000
2020-01-31,NVDA,6.0724649332346985,6.084412318689391,5.842977430369718,5.884792804718018,370420000
2020-02-03,NVDA,5.8666224677137775,6.001278596035723,5.8604000101128895,5.9818644523620605,255564000
2020-02-04,NVDA,6.123736992996068,6.1702817424085685,6.073707630247569,6.151115894317627,271544000
2020-02-05,NVDA,6.272084141575343,6.282289219268242,6.1580869292600395,6.241469383239746,208220000
2020-02-06,NVDA,6.275817783033483,6.328335762023926,6.194675644500358,6.328335762023926,218284000
2020-02-07,NVDA,6.288262961018029,6.310415423757163,6.236740041379936,6.2621283531188965,189752000
2020-02-10,NVDA,6.284778884069444,6.546125934895865,6.279800727450637,6.545379638671875,529608000
2020-02-11,NVDA,6.653649447263468,6.782580617146801,6.591672702329436,6.667836666107178,638556000
2020-02-12,NVDA,6.720605621676727,6.790049616825319,6.681776858992175,6.783577919006348,374644000
2020-02-13,NVDA,6.7255841428124326,6.8069750522686805,6.698204757771656,6.739771366119385,528016000
2020-02-14,NVDA,7.1499607756319765,7.341864247595499,7.11859925173715,7.21293306350708,1041924000
2020-02-18,NVDA,7.109638988755365,7.400108152666693,7.090224846302637,7.381689071655273,620164000
